Feature,Weight,Instance_ID
대출 목적_자동차 구매 <= -0.10,0.20019962274968353,TEST_0016
최대 신용한도 > -0.08,-0.15948523804171158,TEST_0016
개설된 신용계좌 수 > 0.38,0.13504189592452545,TEST_0016
신용 거래 연수 > 0.40,-0.05487620206198643,TEST_0016
대출 목적_소규모 사업 자금 <= -0.05,0.3443551034209545,TEST_0017
대출 목적_의료비 <= -0.13,0.2186151362792332,TEST_0017
대출 목적_자동차 구매 <= -0.10,0.19090179867116241,TEST_0017
대출 목적_주택 개보수 <= -0.32,0.09658430386562539,TEST_0017
-0.34 < 최대 신용한도 <= -0.08,0.05271102598029245,TEST_0017
대출 목적_의료비 <= -0.13,0.20740921363022963,TEST_0018
대출 목적_자동차 구매 <= -0.10,0.18543393424380536,TEST_0018
개설된 신용계좌 수 <= -0.92,-0.10880120914323209,TEST_0018
최대 신용한도 <= -0.50,0.05481039687029786,TEST_0018
연간 소득 <= -0.54,0.05054283023544641,TEST_0018
대출 목적_의료비 <= -0.13,0.20683231771558178,TEST_0019
대출 목적_자동차 구매 <= -0.10,0.184842109970056,TEST_0019
대출 목적_주택 개보수 <= -0.32,0.09247195587737267,TEST_0019
-0.50 < 최대 신용한도 <= -0.34,0.05623895001736283,TEST_0019
신용 거래 연수 <= -0.75,0.04573500372492865,TEST_0019
대출 목적_의료비 <= -0.13,0.20706928867583665,TEST_0020
대출 목적_자동차 구매 <= -0.10,0.1987915527671572,TEST_0020
개설된 신용계좌 수 <= -0.92,-0.10449033865160137,TEST_0020
-0.34 < 최대 신용한도 <= -0.08,0.056573893701410395,TEST_0020
연간 소득 <= -0.54,0.04686891460097444,TEST_0020
대출 목적_소규모 사업 자금 <= -0.05,0.3502625495729834,TEST_0021
대출 목적_의료비 <= -0.13,0.22585527047742315,TEST_0021
대출 목적_자동차 구매 <= -0.10,0.19197509009278485,TEST_0021
최대 신용한도 > -0.08,-0.15710195264793514,TEST_0021
대출 목적_주택 개보수 <= -0.32,0.08878205201563409,TEST_0021
대출 목적_의료비 <= -0.13,0.21180939549502834,TEST_0022
대출 목적_자동차 구매 <= -0.10,0.18944168416329382,TEST_0022
대출 목적_주택 개보수 <= -0.32,0.09262887360754915,TEST_0022
연간 소득 > 0.27,-0.0758140711696033,TEST_0022
-0.34 < 최대 신용한도 <= -0.08,0.052268210999250934,TEST_0022
대출 목적_고액 구매 <= -0.08,0.24843804055816882,TEST_0023
대출 목적_의료비 <= -0.13,0.21895593313565276,TEST_0023
대출 목적_자동차 구매 <= -0.10,0.19228765032632375,TEST_0023
대출 목적_주택 개보수 <= -0.32,0.08115394263204269,TEST_0023
-0.50 < 최대 신용한도 <= -0.34,0.05820707042055651,TEST_0023
대출 목적_의료비 <= -0.13,0.222597737307109,TEST_0024
대출 목적_자동차 구매 <= -0.10,0.18628515291950465,TEST_0024
대출 목적_주택 개보수 <= -0.32,0.09879433388372201,TEST_0024
-0.50 < 최대 신용한도 <= -0.34,0.0525897488735298,TEST_0024
마지막 연체 이후 경과 개월 수 > 0.96,-0.05016566100743708,TEST_0024
대출 목적_소규모 사업 자금 <= -0.05,0.3452126863696881,TEST_0025
대출 목적_의료비 <= -0.13,0.2147519930154031,TEST_0025
대출 목적_자동차 구매 <= -0.10,0.2092735932792776,TEST_0025
대출 목적_주택 개보수 <= -0.32,0.09279306886042603,TEST_0025
-0.50 < 최대 신용한도 <= -0.34,0.05276547381439464,TEST_0025
대출 목적_의료비 <= -0.13,0.20498861018160305,TEST_0026
대출 목적_주택 개보수 <= -0.32,0.09455762869892012,TEST_0026
연간 소득 <= -0.54,0.057443133962888554,TEST_0026
-0.50 < 최대 신용한도 <= -0.34,0.057286131633704086,TEST_0026
신용 거래 연수 <= -0.75,0.04609439990383273,TEST_0026
대출 목적_의료비 <= -0.13,0.2141574265899185,TEST_0027
대출 목적_자동차 구매 <= -0.10,0.18948365661181943,TEST_0027
개설된 신용계좌 수 > 0.38,0.14144367046331285,TEST_0027
대출 목적_주택 개보수 <= -0.32,0.10370211323789608,TEST_0027
-0.34 < 최대 신용한도 <= -0.08,0.049200224188873404,TEST_0027
대출 목적_의료비 <= -0.13,0.20571234339801586,TEST_0028
최대 신용한도 > -0.08,-0.1614138974372197,TEST_0028
개설된 신용계좌 수 > 0.38,0.1326743182352317,TEST_0028
대출 목적_주택 개보수 <= -0.32,0.10707100964130521,TEST_0028
연간 소득 > 0.27,-0.07792492975019348,TEST_0028
대출 목적_의료비 <= -0.13,0.21704767066520522,TEST_0029
대출 목적_자동차 구매 <= -0.10,0.1823613814955798,TEST_0029
-0.50 < 최대 신용한도 <= -0.34,0.05611039761428927,TEST_0029
연간 소득 <= -0.54,0.05354261412982123,TEST_0029
신용 점수 <= -0.23,0.052822157081533504,TEST_0029
대출 목적_의료비 <= -0.13,0.22946099990496183,TEST_0030
대출 목적_자동차 구매 <= -0.10,0.18205813770791207,TEST_0030
개설된 신용계좌 수 <= -0.92,-0.11276472491122565,TEST_0030
대출 목적_주택 개보수 <= -0.32,0.09107198580200683,TEST_0030
-0.50 < 최대 신용한도 <= -0.34,0.053670255401061434,TEST_0030
대출 목적_의료비 <= -0.13,0.21107977224095945,TEST_0031
최대 신용한도 > -0.08,-0.15555491841108982,TEST_0031
개설된 신용계좌 수 <= -0.92,-0.11089860351812064,TEST_0031
연간 소득 > 0.27,-0.08578439519942618,TEST_0031
신용 거래 연수 > 0.40,-0.06131718736063871,TEST_0031
